,TOTUSJH,TOTPOT,TOTUSJZ,ABSNJZH,SAVNCPP,USFLUX,AREA_ACR,MEANPOT,R_VALUE,SHRGT45,MEANSHR,MEANGAM,TOTBSQ,TOTFZ,EPSZ,FLARE_CLASS
9103,544.557,4.93056e+22,11078180000000.0,68.929,3364034000000.0,6.682173e+21,534.336121,3499.856,2.885,15.347,29.707,38.931,8392400000,-889.11,-0.201,No Flares
9104,217.462,1.607489e+22,4492235000000.0,17.017,1983011000000.0,3.108514e+21,151.701492,2505.523,0.0,5.278,25.15,29.823,3640300000,-634.01,-0.3304,No Flares
9105,18.916,1.092916e+21,491600700000.0,1.093,107499200000.0,2.520749e+20,23.41502,1682.927,1.818,7.771,26.936,30.821,719310000,37.096,0.0978,No Flares
9106,609.984,3.907546e+22,14056260000000.0,71.009,4960335000000.0,1.208441e+22,414.060638,1447.072,0.0,2.489,22.244,25.564,13153000000,-2730.8,-0.3938,No Flares
9107,377.094,3.030182e+22,7867155000000.0,11.636,1601719000000.0,4.947883e+21,481.532623,2912.916,1.547,9.473,26.512,35.323,6218200000,-595.54,-0.1817,No Flares
9108,196.524,1.3727e+22,3893525000000.0,12.433,1580447000000.0,2.612691e+21,168.325119,2712.215,0.0,3.91,24.448,29.602,3054600000,-495.54,-0.3077,No Flares
9109,45.365,2.997354e+21,1093633000000.0,4.979,368254700000.0,7.571446e+20,36.824383,1664.43,0.0,6.121,25.387,30.252,1101800000,-40.285,-0.0694,No Flares
9110,566.798,3.707088e+22,12572300000000.0,69.768,5690587000000.0,9.030365e+21,494.787018,1912.565,0.0,3.398,23.414,28.216,10755000000,-1687.2,-0.2976,No Flares
9111,419.602,2.578424e+22,9549736000000.0,41.233,2236655000000.0,5.361216e+21,471.461456,2087.654,0.0,9.441,26.569,33.221,6172600000,-465.08,-0.1429,No Flares
9112,171.084,1.045752e+22,3546947000000.0,2.347,1610965000000.0,2.423065e+21,170.461746,2116.197,0.0,4.354,23.66,27.768,2839700000,-378.71,-0.253,No Flares
9113,462.282,2.818225e+22,10035450000000.0,50.718,3824988000000.0,6.403512e+21,535.80304,2113.421,0.0,4.402,23.558,29.068,7844700000,-1072.3,-0.2593,No Flares
9114,394.305,2.873576e+22,10073960000000.0,22.609,1617461000000.0,6.178373e+21,385.3992,1832.922,2.989,10.055,28.484,32.081,7047100000,-352.75,-0.0949,No Flares
9115,135.656,8.267392e+21,3082323000000.0,0.688,585119700000.0,2.253592e+21,133.379959,1703.211,0.0,2.927,23.05,27.401,2977100000,-233.87,-0.149,No Flares
9116,357.832,1.890885e+22,7739348000000.0,27.699,2278132000000.0,4.761237e+21,450.61792,1897.403,2.074,3.918,22.77,29.173,6308200000,-659.91,-0.1984,No Flares
9117,344.337,2.624489e+22,8933803000000.0,0.364,2314652000000.0,7.345548e+21,262.379028,1436.509,2.563,3.802,24.753,27.418,8278400000,-781.89,-0.1792,No Flares
9118,126.756,8.435662e+21,2855026000000.0,3.73,412568600000.0,2.605126e+21,106.13269,1553.802,0.0,2.104,21.669,25.831,3712200000,-425.52,-0.2174,No Flares
9119,316.523,1.666358e+22,7302663000000.0,14.705,626209700000.0,4.177967e+21,379.693298,1781.044,0.0,4.613,24.089,29.076,7160700000,-360.9,-0.0956,No Flares
9120,245.47,1.699336e+22,5905304000000.0,11.373,2128785000000.0,6.771708e+21,145.762833,1082.553,0.0,0.584,20.56,24.448,9368800000,-1568.9,-0.3177,No Flares
9121,111.767,6.240337e+21,2721162000000.0,10.562,883397500000.0,2.659456e+21,59.105518,1025.064,0.0,0.284,19.928,23.271,3788400000,-588.69,-0.2948,No Flares
9122,303.764,1.735432e+22,7125863000000.0,20.513,522353600000.0,4.626682e+21,291.773071,1629.577,1.964,3.741,23.817,28.091,9106100000,-216.94,-0.0452,No Flares
9123,85.91,5.724672e+21,1848569000000.0,18.095,1084053000000.0,3.192022e+21,34.940426,843.7275,0.0,0.117,16.544,23.14,9730900000,-2162.4,-0.4215,No Flares
9124,66.172,3.08494e+21,1461770000000.0,9.417,690822800000.0,2.067126e+21,28.331205,710.3731,0.0,0.214,15.547,20.411,4047600000,-888.31,-0.4163,No Flares
9125,267.135,1.75188e+22,6620574000000.0,0.754,1305895000000.0,5.370215e+21,190.382614,1363.174,0.0,2.594,23.526,26.741,10861000000,-850.36,-0.1485,No Flares
9126,150.687,9.395955e+21,3666284000000.0,10.107,1024222000000.0,3.809759e+21,80.174393,1070.514,0.0,0.348,20.442,23.942,11993000000,-2020.9,-0.3196,No Flares
9127,63.93,3.680141e+21,1400289000000.0,9.253,577641600000.0,2.221054e+21,35.836735,782.5748,0.0,0.0,16.501,22.184,12028000000,-2534.2,-0.3997,No Flares
9128,489.045,5.573005e+22,9141912000000.0,12.442,2163113000000.0,5.992921e+21,207.852814,4877.832,3.813,24.782,34.639,41.988,6870300000,-1141.4,-0.3151,No Flares
9129,517.272,6.333032e+22,10291620000000.0,43.098,3512934000000.0,8.479342e+21,255.339417,3761.983,3.929,15.88,29.214,35.214,8144700000,-1703.4,-0.3967,No Flares
9130,365.115,2.804423e+22,7555337000000.0,27.486,1676202000000.0,8.302687e+21,131.3479,1599.404,3.13,2.386,20.936,27.304,6749200000,-1899.1,-0.5337,No Flares
9131,69.453,3.716656e+21,1135644000000.0,5.701,186587600000.0,6.00235e+20,47.121254,3277.041,0.0,9.133,25.363,41.07,657510000,-95.746,-0.2762,No Flares
9132,135.907,8.596937e+21,3119176000000.0,10.422,821376200000.0,2.414942e+21,80.551651,1557.973,0.0,3.466,23.291,26.851,1871700000,-417.62,-0.4232,No Flares
9133,79.765,5.234231e+21,1913910000000.0,10.702,1035902000000.0,1.189497e+21,82.207855,1937.712,2.306,5.457,24.812,29.258,1186500000,-168.39,-0.2692,No Flares
9134,31.876,1.503971e+21,705382700000.0,2.266,289573500000.0,3.864223e+20,59.065098,1853.471,0.0,1.473,21.691,29.548,678900000,-78.974,-0.2207,No Flares
9135,37.479,1.361789e+21,784359400000.0,3.074,266760400000.0,4.173777e+20,57.068382,1602.201,0.0,2.031,19.272,29.442,565190000,-62.223,-0.2088,No Flares
9136,38.612,1.648574e+21,864217000000.0,0.594,131894700000.0,4.562658e+20,54.897827,1624.81,1.803,2.749,21.972,30.062,611940000,-19.613,-0.0608,No Flares
9137,486.471,3.496941e+22,11844650000000.0,51.889,2375091000000.0,1.18043e+22,297.71167,1254.299,2.496,1.929,22.031,24.632,10174000000,-2680.6,-0.4998,No Flares
9138,28.728,1.614721e+21,708141600000.0,2.5,395362600000.0,4.408132e+20,35.206318,1535.182,1.313,3.788,23.708,29.541,854740000,15.945,0.0354,No Flares
9139,504.28,3.564159e+22,12051120000000.0,58.164,1920743000000.0,9.330346e+21,411.616699,1639.741,0.0,4.466,24.052,27.222,8102300000,-1590.1,-0.3723,No Flares
9140,34.136,2.325166e+21,814102800000.0,3.706,467503300000.0,7.06031e+20,29.167252,1432.749,0.0,1.227,23.378,27.824,1104800000,-65.424,-0.1123,No Flares
9141,407.759,2.751364e+22,9337731000000.0,77.485,3801520000000.0,6.184152e+21,488.24231,1997.244,0.0,6.247,24.723,29.613,6355800000,-954.27,-0.2848,No Flares
9142,50.21,4.836026e+21,772917400000.0,4.208,258434200000.0,8.115926e+20,14.013528,3438.587,0.0,4.533,26.363,34.488,1398000000,-338.8,-0.4597,No Flares
9143,317.677,2.00164e+22,6851890000000.0,66.997,4170369000000.0,4.2862e+21,490.088776,2236.214,1.82,4.555,23.648,30.976,5075200000,-684.88,-0.256,C
9144,59.284,4.24873e+21,1278166000000.0,8.278,991742500000.0,9.650547e+20,29.820133,2056.065,0.0,8.869,25.937,30.893,1133500000,-216.96,-0.3631,No Flares
9145,260.568,1.615581e+22,6011900000000.0,3.177,702192900000.0,3.598862e+21,439.67691,2022.462,1.62,5.187,24.304,31.211,4453200000,-525.61,-0.2239,C
9146,103.464,6.73544e+21,2054994000000.0,22.57,442133100000.0,1.27374e+21,60.735615,2558.878,0.0,8.174,25.916,32.795,1268300000,-228.11,-0.3411,No Flares
9147,360.862,2.253028e+22,8534685000000.0,43.463,1779042000000.0,4.989231e+21,459.070892,1956.974,0.0,6.898,25.44,31.089,5412500000,-535.76,-0.1878,No Flares
9148,45.892,2.270198e+21,919671800000.0,15.224,750403100000.0,5.028418e+20,67.402519,2144.83,0.0,2.886,22.992,32.072,688570000,-87.196,-0.2402,No Flares
9149,74.02,5.738615e+21,1568498000000.0,6.23,113860100000.0,1.872708e+21,27.417946,1452.96,0.0,0.572,20.388,25.793,1413600000,-441.56,-0.5925,No Flares
